id,category,name,owner,contact,address,city,cityCode,phone,noRooms,noBeds,attribute
568,"**","Sport- und Seminarhotel Hollabrunn","-","-","Dechant-Pfeifer-Straße 3","Hollabrunn","2020","-",41,72,""
569,"****","Winzerhotel Gumpoldskirchen","-","-","Wiener Straße 26","Gumpoldskirchen","2352","-",108,205,""
570,"*","Gasthof Birgl","-","-","Inning 34","Inning","3383","-",11,3,""
571,"****","Hotel Schwarz Alm Zwettl","-","-","Almweg 1","Zwettl","3910","-",26,101,""
572,"*","neuningerHOF","-","-","Hauptstrasse 13","Schönberg","3562","-",6,3,""
573,"*","Rohrendorf","-","-","Johann Holzerstraße 13","Rohrendorf","3495","-",38,134,""
574,"*","Landgasthof Kammerhof","-","-","Kammerhofstr. 1","Hofstetten","3202","-",28,2,""
575,"**","Roomantic Apartments","-","-","Schulgraben 10","Bromberg","2833","-",3,8,""
576,"*****","Familie Obermüller","-","-","Schwarzois 50 / Maria Seesal","Ybbsitz","3341","-",5,26,""
577,"***","Gasthof Goldener Stern","-","-","Wiener Straße 32","Hollabrunn","2020","-",44,220,""
578,"*","Haus Wintesperger","-","-","St. Georgen 4","Emmersdorf","3644","-",21,51,""
579,"*","Ingrid und Josef Haunschmid","-","-","Kollmitzberg 14","Ardagger","3321","-",41,86,""
580,"**","Ötscherschutzhütte","-","-","Ötscher 1","Lackenhof","3295","-",1,3,""
581,"****","Das Steinberger","-","-","Hauptstraße 52","Altlengbach","3033","-",17,64,""
582,"*","Gasthaus 3-Länderblick Mönichkirchen","-","-","Wechselbundesstrasse 276","Mönichkirchen","2872","-",8,30,""
583,"**","Sommerfrische Waldviertel","-","-","Marktplatz 46","Kirchberg","3932","-",16,21,""
584,"****","Hotel Donauhof","-","-","Haus Nr. 40","Emmersdorf","3644","-",4,11,""
585,"*","Weinberghof Ilkerl","-","-","Rehberger Hauptstraße 57","Krems","3500","-",74,114,""
586,"**","Zimmervermietung Stocker","-","-","Hammergasse 16","Waidhofen","3340","-",52,167,""
587,"**","Ramswirt","-","-","Rams 40","Kirchberg","2880","-",64,162,""
588,"****","Hotel Althof Retz","-","-","Althofgasse 14","Retz","2070","-",25,99,""
589,"*","Junges Hotel Annaberg","-","-","Annarotte 77","Annaberg","3222","-",43,70,""
590,"**","Gästehaus Weinbergblick","-","-","Rote-Torgasse 18","Spitz","3620","-",8,37,""
591,"*","Bernstein-Motel Marchegg","-","-","Feldgasse 1","Marchegg","2293","-",66,180,""
592,"***","Stadthotel Gürtler","-","-","Rathausstraße 13","Amstetten","3300","-",24,24,""
593,"*","GästeHaus Rudolf u. Sandra DENK","-","-","Winklgasse 133","Wösendorf","3610","-",45,83,""
594,"***","Landgasthof Hausmann","-","-","Schneebergstraße 2","Puchberg","2734","-",52,130,""
595,"*","Nordwaldfarm","-","-","Kleingöpfritz 26","Waidhofen","3834","-",44,77,""
596,"**","Pension Himmelreich","-","-","Döpplinger Straße 73","Ternitz","2630","-",38,144,""
597,"**","Gasthof Erlauftalerhof","-","-","Erlauftalstraße 109","Gaming","3291","-",59,142,""
598,"**","Frühstückspension Leopold Janu","-","-","Unterer Markt 53","Senftenberg","3541","-",8,64,""
599,"*","Biohof Teufel","-","-","Graben 1","Lunz","3293","-",61,157,""
600,"**","Kerndlerhof","-","-","Mittereichen 2","Ybbs","3374","-",75,303,""
601,"**","Gästezimmer Krappel","-","-","Hans Heppenheimerstraße 8","Rohrendorf","3495","-",44,195,""
602,"**","Privatzimmer Pluch","-","-","Josef-Höbarthgasse 21","Horn","3580","-",22,53,""
603,"**","Glashof","-","-","Neunagelberg 30","Neunagelberg","3871","-",23,8,""
604,"*****","Penzion Sport X","-","-","Promenade 1 3292 Gaming","Gaming","3292","-",28,19,""
605,"**","Ferienhaus Ehrenreith","-","-","Strohmarkt 27","Göstling","3345","-",1,4,""
606,"*","Gästehaus Annemaria","-","-","Fladnitzerstrasse 125","Retz","2070","-",8,1,""
607,"****","Hotel Zur Linde","-","-","Josef-Dunkl-Straße 8","Mistelbach","2130","-",64,91,""
608,"****","Wellness-Ferien-Seminarhotel Raxalpenhof","-","-","Preinrotte 9","Reichenau","2651","-",9,28,""
609,"****","Hotel The Originals Berghotel Tulbingerkogel","-","-","Tulbingerkogel 1","Mauerbach","3001","-",15,33,""
610,"*","Weingut Breitenfelder","-","-","Kleinriedenthal 3","Retz","2074","-",21,22,""
611,"**","Weingut Donabaum In der Spitz","-","-","In der Spitz 3","Spitz","3620","-",84,207,""
612,"*","MÖRWALD Relais & Châteaux Hotel am Wagram","-","-","Kleine Zeile 13-17","Feuersbrunn","3483","-",19,113,""
613,"*","Landhaus Wachau","-","-","Aggsbach Markt 86","Aggsbach","3641","-",46,28,""
614,"**","Nibelungenmotel Pöchlarn","-","-","Manker Straße 54a","Pöchlarn","3380","-",23,184,""
615,"**","MÖRWALD Hotel Schloss Grafenegg","-","-","Grafenegg 12","Grafenegg","3485","-",23,120,""
616,"*","Privatzimmer, Private Rooms","-","-","18 Julius Willerth-Gasse","Wiener","2700","-",9,37,""
617,"*","Kögerlwirt","-","-","Ybbssteinbach 10","Göstling","3345","-",50,205,""
618,"***","Villa Nova - Hotel garni","-","-","Pocksteinerstraße 35","Waidhofen","3340","-",62,121,""
619,"****","Hotel Kartause Gaming","-","-","Kartause 1","Gaming","3292","-",38,32,""
620,"****","Residenz Wachau","-","-","Dorf 19","Aggsbach","3642","-",27,16,""
621,"*","Villa-Angelina","-","-","Wienerstraße 17","Langenzersdorf","2103","-",29,39,""
622,"**","Zur Post","-","-","Käferbichlstraße 1","Lackenhof","3295","-",2,2,""
623,"*","Familienpension Sonnenhof","-","-","Sonnenwg 3","Lackenhof","3295","-",4,18,""
624,"***","Papperl a' Pub","-","-","Hauptstraße 18","Schönberg","3562","-",14,57,""
625,"***","Hotel Restaurant Ottenstein Superior","-","-","Peygarten","Rastenfeld","3532","-",6,7,""
626,"****","Zum schwarzen Bären","-","-","Marktplatz 7","Emmersdorf","3644","-",30,21,""
627,"**","Jakob Kern Gästehaus im Stift Geras","-","-","Hauptstraße 1","Geras","2093","-",61,244,""
628,"***","JUFA Hotel Waldviertel","-","-","Hamerlingstraße 8","Raabs","3820","-",46,21,""
629,"**","Ferienhaus FRIEDLHOF","-","-","Bruderndorferwald 13 Gästehaus","Langschlag","3921","-",3,1,""
630,"**","Zimmer mit Garten","-","-","Brunngasse 57","Poysdorf","2170","-",31,10,""
631,"**","Gastehaus & Weingut Aigner","-","-","49 Weinzierl","Krems","3500","-",22,34,""
632,"**","Biohof Ebenbauer","-","-","10 Windhager Straße","Waidhofen","3340","-",1,2,""
633,"***","Gasthof Grüner Baum","-","-","Markt 55","Kirchberg","2880","-",52,169,""
634,"**","D&E Rooms","-","-","Feldstraße 93","Schwechat","2322","-",60,298,""
635,"*","Gasthof Ludl","-","-","Rathausstraße 9","Groß-Enzersdorf","2301","-",10,55,""
636,"***","Gasthof zum Kirchenwirt","-","-","Hauptplatz 4","Sankt","4300","-",56,206,""
637,"**","Haus am See","-","-","Seehof 21","Lunz","3293","-",48,35,""
638,"**","Kolpingsfamilie Poysdorf","-","-","Kolpingstraße 7","Poysdorf","2170","-",2,3,""
639,"***","Gasthaus Dürregger","-","-","Ebersdorf 4","Leiben","3652","-",9,1,""
640,"**","Haus 7 Stadtmitte","-","-","Wiener Straße 7","Melk","3390","-",14,77,""
641,"****","Kurhotel Leonardo","-","-","Hauptstraße 110","Gmünd","3945","-",32,53,""
642,"**","Gästehaus Huber","-","-","Kamp 25","Arbesbach","3925","-",27,14,""
643,"**","Gasthaus Hofmann Angelika","-","-","Waagstraße 10","Loosdorf","3382","-",20,26,""
644,"**","Flackl - Wirt Seminare","-","-","Hinterleiten 12","Reichenau","2651","-",25,154,""
645,"*","Madar Café Central Melk","-","-","Hauptplatz 10","Melk","3390","-",48,302,""
646,"**","Gwörthwirt","-","-","Gwörth 3","Kasten","3072","-",2,11,""
647,"****","Haus Bartberg","-","-","Grenzgasse 15","Pressbaum","3013","-",25,50,""
648,"**","Bauer & Wirt Langthaler","-","-","Pömling 14","Emmersdorf","3644","-",75,13,""
649,"***","Blockhaus-Bärnkopf","-","-","Bärnkopf 140","Bärnkopf","3665","-",96,16,""
650,"**","Gästehaus Daurer","-","-","Reinsberg 15","Reinsberg","3264","-",38,72,""
651,"**","Privatzimmer Familie Wagner","-","-","Wienerstraße 33","Pöchlarn","3380","-",11,1,""
652,"**","Cafe Nove","-","-","Sonnwendgasse 14","Ternitz","2630","-",1,4,""
653,"**","Baumhaus Lodge Schrems","-","-","Herrenteichweg","Schrems","3943","-",41,326,""
654,"*","Pension Landhaus Ingrid B&B","-","-","Loich 7","Loich","3211","-",33,31,""
655,"**","Gasthof zum guten Kameraden","-","-","Ortsstraße 20","Marbach","3671","-",11,47,""
656,"***","Hotel Gasthof Seeland","-","-","114 Goldegger Straße","St.","3100","-",69,311,""
657,"**","Arkadenhof Fam. Schneider","-","-","22 Eichenbrunn","Eichenbrunn","2152","-",14,33,""
658,"***","Hotel Thaya","-","-","Hauptstraße 14","Raabs","3820","-",6,12,""
659,"**","Landhaus zum Siebenschläfer","-","-","Hauptstraße 54","Herrnbaumgarten","2171","-",17,100,""
660,"***","Gasthof Böhm","-","-","Hauptstraße 16","Persenbeug","3680","-",25,138,""
661,"***","Neues Gästehaus und Hotel-Pension zum Gmoana","-","-","Ulmenweg 3","Sankt","4300","-",46,50,""
662,"**","Dretenpacherhof","-","-","Trattenbach 80","Trattenbach","2881","-",2,4,""
663,"*","Haflingerhof Luef","-","-","Leitenviertel 8","Bad","2853","-",48,37,""
664,"*","Biobauernhof Lacken","-","-","Eisenwiesen 7","Strohmarkt","3345","-",18,15,""
665,"**","Urlaub am Bauernhof","-","-","41 Konradsheim","Waidhofen","3340","-",16,63,""
666,"***","Krumbacherhof","-","-","Bundesstr. 19","Krumbach","2851","-",7,15,""
667,"**","Gasthof Teufl","-","-","Kirchenstraße 9","Purgstall","3251","-",60,18,""
668,"**","Gästehaus Wachau","-","-","Wachaustraße 1","Leiben","3652","-",21,31,""
669,"**","Gasthof Hentsch","-","-","Rathausplatz 8","Weitra","3970","-",56,51,""
670,"*","campus Horn","-","-","Canisiusgasse 1","Horn","3580","-",21,84,""
671,"*","Gästehaus Wildpert","-","-","Engabrunner Straße 7","Engabrunn","3492","-",32,94,""
672,"*","Gasthof Singula","-","-","Hauptstraße 22","Payerbach","2650","-",62,40,""
673,"**","Museumsquartier Nord","-","-","Professor Kneslplatz 12","Bad","2222","-",25,104,""
674,"*","Gasthof Grünling","-","-","Marktplatz 7","Wallsee","3313","-",36,36,""
675,"**","Hössl","-","-","Wiener Straße 25","Brunn","2345","-",8,7,""
676,"**","Pension Klug - DorfResort Mitterbach","-","-","Peterstraße 5","Mitterbach","3224","-",78,79,""
677,"*","Eisenbock's Strasser Hof","-","-","Marktplatz 30","Strass","3491","-",3,5,""
678,"*","Bauernhof Ablass","-","-","Hochreit 5","Göstling","3345","-",7,26,""
679,"****","Hotel Die Residenz","-","-","5 Rosenau Schloß","Schloss","3924","-",53,238,""
680,"*","Bauernhof Schrammel","-","-","Maierhöfen 13","Bad","2853","-",6,5,""
681,"*","CottageNumber9","-","-","Urfahr 9","Leiben","3652","-",10,41,""
682,"**","Schwarzes Haus","-","-","Hammerschmiedstraße 1","Ybbsitz","3341","-",58,206,""
683,"**","Pension Kirchsteiger","-","-","Untere Hauptstraße 29","Hohenberg","3192","-",6,3,""
684,"*","Wurzer Johann","-","-","Laimbach 12","Laimbach","3663","-",33,106,""
685,"**","Hirmhof","-","-","Buchberg 8","Reinsberg","3264","-",2,3,""
686,"**","Flussbett","-","-","Melkerstrasse 3","Kirchberg","3204","-",24,45,""
687,"**","Winzerhaus Kitzler","-","-","Untere Hauptstrasse 53","Rohrendorf","3495","-",10,18,""
688,"**","Gästezimmer Gerlinde","-","-","Erlacher Straße 153","Schwarzau","2625","-",41,11,""
689,"**","Asia Wok Ybbshof","-","-","Stauwerkstraße 71","Ybbs","3370","-",16,93,""
690,"**","Guest House Silberwald","-","-","Silberwald-Straße","Strasshof","2231","-",78,378,""
691,"*","Haus Resi","-","-","Wultendorf 55","Staatz","2134","-",16,18,""
692,"***","Märchenhotel Waldpension Nebelstein","-","-","Maissen 28","Harbach","3970","-",28,19,""
693,"**","Genießerpension Dopler - Zur schönen Au","-","-","Maierhöfnerstraße 6","Bad","2853","-",41,149,""
694,"**","Gästehaus Wasserburger","-","-","Thalerl 35","Kernhof","3195","-",47,209,""
695,"**","Weinbauernhof Vier Jahreszeiten","-","-","Am Hufeisen 3","Staatz","2134","-",6,24,""
696,"**","Rettensteinerhof Wirtshaus Hilbinger","-","-","Dorf 39","Hollenstein","3343","-",30,152,""
697,"***","Frühstückspension Zur Blauen Traube","-","-","Ysperstraße 4","Ysper","3683","-",1,4,""
698,"***","Landgasthof Binder","-","-","Harbach 23","Harbach","3970","-",59,78,""
699,"*","Stacher Wein und Bett","-","-","Obere Hauptstraße 16","Bad","2222","-",37,41,""
700,"***","Gasthof Pension Seidl","-","-","Pretrobruck 17","Arbesbach","3925","-",11,70,""
701,"**","Haslaustube","-","-","Haslaurotte 23","Schwarzenbach","3212","-",59,353,""
702,"**","Weingut zur Schlafmütze","-","-","Große Zeile 24","Herrnbaumgarten","2171","-",12,49,""
703,"****","Pedro's","-","-","Dörfl 19","Kasten","3072","-",17,15,""
704,"**","Blumenhof für die Gäste","-","-","Wultendorf 8","Staatz","2134","-",27,46,""
705,"**","Privatzimmer Hofer","-","-","17 Bärnkopf","Bärnkopf","3665","-",11,37,""
706,"***","Angerhof","-","-","Forstamt 9","Dorfstetten","4392","-",23,62,""
707,"*","Heurigenhof Bründlmayer","-","-","Walterstraße 14","Langenlois","3550","-",80,43,""
